HUC12,Inland Flood,Storm Surge
10200040105.0,0.94,0.0
10200040106.0,1.26,0.825
10200040107.0,0.975,0.826
10200040108.0,0.934,0.826
10200040109.0,0.992,0.826
10200040110.0,0.993,0.826
10200040111.0,0.935,0.822
10200040201.0,1.199,0.825
10200040202.0,0.965,0.826
10200040203.0,1.144,0.822
10200040204.0,1.079,0.826
10200040205.0,1.033,0.823
10200040301.0,0.959,0.0
10200040302.0,0.94,0.0
10200040303.0,0.968,0.0
10200040304.0,0.947,0.826
10200040305.0,0.913,0.824
10200040306.0,0.922,0.826
10200040307.0,0.908,0.0
10200040308.0,0.955,0.826
10200040309.0,0.995,0.826
10200040310.0,0.97,0.826
10200040311.0,1.019,0.821
10200040312.0,1.067,0.823
10200040401.0,1.477,0.0
10200040402.0,1.409,0.0
10200040403.0,1.396,0.0
10200040404.0,1.448,0.826
10200040405.0,1.448,0.826
10200040406.0,1.19,0.0
10200040407.0,1.19,0.0
10200040408.0,1.461,0.826
10200040409.0,1.174,0.825
10200040410.0,1.739,0.824
10200040501.0,1.146,0.826
10200040502.0,1.126,0.826
10200040503.0,1.128,0.826
10200040504.0,1.12,0.826
10200040601.0,1.472,0.826
10200040602.0,0.984,0.825
10200040603.0,1.261,0.826
10200040604.0,1.232,0.819
10200050101.0,1.598,0.0
10200050102.0,1.617,0.0
10200050103.0,1.975,0.0
10200050104.0,1.661,0.0
10200050201.0,1.844,0.789
10200050202.0,1.187,0.79
10200050203.0,1.246,0.792
10200050204.0,1.236,0.79
10200050205.0,1.117,0.79
10200050206.0,1.272,0.792
10200050207.0,1.449,0.792
10200050208.0,1.424,0.789
10200050301.0,1.348,0.776
10200050302.0,1.333,0.722
10200050303.0,1.333,0.776
10200050304.0,1.608,0.777
10200050305.0,1.302,0.776
10200050306.0,1.34,0.774
10200050307.0,1.608,0.776
10200050308.0,1.383,0.776
10200050309.0,1.335,0.777
10200050310.0,1.459,0.771
10200050311.0,1.323,0.773
